,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.93,18.42,19.44,82,20,4.1,ZA,1604543581
1,Dikson,73.51,80.55,-16.69,91,0,2.48,RU,1604543554
2,Arrondissement de Saint-Malo,48.5,-1.83,6.0,87,0,3.1,FR,1604543663
3,Piteå,65.32,21.48,5.0,75,99,5.1,SE,1604543663
4,Muros,42.78,-9.06,11.67,66,90,2.24,ES,1604543634
5,Beringovskiy,63.05,179.32,2.83,96,100,12.11,RU,1604543576
6,Hermanus,-34.42,19.23,19.44,87,100,3.58,ZA,1604543571
7,Rikitea,-23.12,-134.97,23.16,68,14,4.48,PF,1604543559
8,Upernavik,72.79,-56.15,-8.7,95,100,3.14,GL,1604543549
9,Port Alfred,-33.59,26.89,20.01,88,98,5.65,ZA,1604543403
10,Hilo,19.73,-155.09,28.0,65,1,4.6,US,1604543506
11,San Policarpo,12.18,125.51,28.34,75,100,2.43,PH,1604543665
12,Ushuaia,-54.8,-68.3,10.0,76,0,3.6,AR,1604543411
13,Carnarvon,-24.87,113.63,25.0,78,0,7.2,AU,1604543652
14,Bireun,5.2,96.7,29.23,67,20,0.55,ID,1604543665
15,Mountain Home,43.13,-115.69,12.0,30,1,0.69,US,1604543666
16,George Town,5.41,100.34,29.0,78,20,1.0,MY,1604543305
17,Saint George,37.1,-113.58,20.0,24,1,2.1,US,1604543345
18,Baiyin,36.56,104.21,11.11,75,100,1.29,CN,1604543666
19,Hobart,-42.88,147.33,15.0,38,75,2.1,AU,1604543251
20,Kruisfontein,-34.0,24.73,19.44,92,100,1.79,ZA,1604543604
21,Talnakh,69.49,88.4,-19.0,84,0,2.0,RU,1604543586
22,Cairns,-16.92,145.77,31.11,58,0,4.6,AU,1604543447
23,Hofn,64.25,-15.21,7.01,61,50,6.05,IS,1604543544
24,Souillac,-20.52,57.52,21.0,88,75,1.0,MU,1604543668
25,Chokurdakh,70.63,147.92,-24.01,91,46,2.57,RU,1604543628
26,Hithadhoo,-0.6,73.08,28.4,71,7,1.92,MV,1604543450
27,Puerto Ayora,-0.74,-90.35,21.11,83,99,3.58,EC,1604543402
28,Jamestown,42.1,-79.24,12.78,50,1,4.6,US,1604543555
29,Yellowknife,62.46,-114.35,-16.0,77,75,5.7,CA,1604543406
30,Lompoc,34.64,-120.46,17.78,77,1,3.6,US,1604543655
31,Butaritari,3.07,172.79,27.64,70,100,3.44,KI,1604543559
32,Hong Kong,22.29,114.16,23.89,64,0,2.24,HK,1604543557
33,Cabo San Lucas,22.89,-109.91,26.11,83,20,2.6,MX,1604543449
34,Albany,42.6,-73.97,11.0,53,1,3.1,US,1604543402
35,Piaçabuçu,-10.41,-36.43,25.31,81,100,5.35,BR,1604543670
36,Atuona,-9.8,-139.03,26.03,77,0,9.3,PF,1604543581
37,Bambous Virieux,-20.34,57.76,23.33,88,75,1.0,MU,1604543563
38,Poya,-21.35,165.15,27.3,64,49,2.84,NC,1604543671
39,Mount Gambier,-37.83,140.77,15.0,51,90,6.7,AU,1604543412
40,Kavieng,-2.57,150.8,26.56,88,100,7.55,PG,1604543573
41,Punta Arenas,-53.15,-70.92,8.0,87,0,5.7,CL,1604543467
42,Kaupanger,61.18,7.24,6.45,77,100,2.25,NO,1604543672
43,Khatanga,71.97,102.5,-21.94,90,0,3.31,RU,1604543423
44,Dārāb,28.75,54.54,11.33,44,0,0.95,IR,1604543672
45,Tiksi,71.69,128.87,-16.24,94,100,2.23,RU,1604543565
46,Bredasdorp,-34.53,20.04,19.0,88,100,2.6,ZA,1604543544
47,Norman Wells,65.28,-126.83,-28.0,75,75,1.0,CA,1604543673
48,Greenville,35.61,-77.37,10.0,93,1,1.03,US,1604543674
49,Kapaa,22.08,-159.32,28.0,78,40,4.6,US,1604543552
50,Vanavara,60.34,102.28,-6.0,97,100,3.49,RU,1604543674
51,Busselton,-33.65,115.33,23.89,35,0,2.05,AU,1604543571
52,Kifrī,34.7,44.97,22.87,27,100,4.62,IQ,1604543674
53,Longyearbyen,78.22,15.64,1.0,74,75,11.3,SJ,1604543608
54,Aksha,50.28,113.29,-1.17,90,100,0.43,RU,1604543675
